Age,Gender_Женский,Gender_Мужской,Course_Бакалавриат 1 курс,Course_Бакалавриат 2 курс,Course_Бакалавриат 3 курс,Course_Бакалавриат 4 курс,Course_Магистатура,Speciality_Архитектура,Speciality_Бизнес,Speciality_Другое,Speciality_Инженерия,Speciality_Програмирование,Speciality_Психология,Speciality_Юриспруденция,Factor1,Factor2,Factor3,Factor4,Factor5,Total_Factor_Score,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Best_strategy,Total_Strategy_Score,Total_Result
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5733333333333334,0.6533333333333333,0.8,0.84,0.64,0.7013333333333333,0.20896215463199444,0.19851404690039473,0.19688878569770144,0.1950313443231948,0.20060366844671465,1,0.7178333333333333,0.7095833333333332
22,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5333333333333333,0.5466666666666666,0.76,0.64,0.4266666666666667,0.5813333333333334,0.2040544145105361,0.20005334755934914,0.21339023739663907,0.2160576153640971,0.16644438516937848,4,0.6248333333333334,0.6030833333333334
19,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.84,0.9333333333333333,0.28,0.6933333333333334,0.5866666666666667,0.6666666666666667,0.29889879391714735,0.1415836392239119,0.19297325642370214,0.16518091242789723,0.20136339800734138,1,0.6356666666666666,0.6511666666666667
19,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8666666666666667,0.6,0.7733333333333333,0.9466666666666667,0.5066666666666667,0.7386666666666668,0.22133938706015888,0.19750283768444946,0.19977298524404083,0.21793416572077184,0.16345062429057886,1,0.7341666666666667,0.7364166666666667
19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.8666666666666667,0.8933333333333333,0.68,0.7866666666666666,0.5066666666666667,0.7466666666666667,0.21494708994708994,0.16203703703703703,0.20105820105820105,0.17857142857142858,0.24338624338624337,5,0.756,0.7513333333333334
19,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.68,0.8,0.7466666666666667,0.6,0.52,0.6693333333333333,0.2355316285329744,0.17496635262449528,0.20457604306864063,0.20188425302826377,0.18304172274562583,1,0.7430000000000001,0.7061666666666667
18,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5466666666666666,0.64,0.6266666666666667,0.7733333333333333,0.6266666666666667,0.6426666666666666,0.21035598705501618,0.15533980582524273,0.2174757281553398,0.22006472491909385,0.19676375404530747,4,0.7725,0.7075833333333332
19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.7466666666666667,0.6,0.68,0.76,0.6,0.6773333333333335,0.1756440281030445,0.21077283372365338,0.1920374707259953,0.21077283372365338,0.21077283372365338,2,0.5693333333333334,0.6233333333333334
20,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7333333333333333,0.8266666666666667,0.8133333333333334,0.68,0.6533333333333333,0.7413333333333334,0.1889007470651014,0.192102454642476,0.2014941302027748,0.192102454642476,0.22540021344717182,5,0.7808333333333334,0.7610833333333333
20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.72,0.7866666666666666,0.6133333333333333,0.68,0.68,0.6960000000000001,0.2360195619817138,0.15628322347437806,0.2007229428024665,0.1722304911758452,0.23474378056559644,1,0.7838333333333333,0.7399166666666667
